encode_experiment_accession	assay	target	tissue	stage	signal_p_val_rep1_accession	signal_p_val_rep2_accession
ENCSR150RMQ	ATAC-seq	NA	embryonic facial prominence	e11.5	ENCFF445RZJ	ENCFF966IIO
ENCSR031HDN	ATAC-seq	NA	embryonic facial prominence	e12.5	ENCFF256EPN	ENCFF867AIO
ENCSR358MOW	ATAC-seq	NA	embryonic facial prominence	e13.5	ENCFF947RNR	ENCFF185WUX
ENCSR876SYO	ATAC-seq	NA	embryonic facial prominence	e14.5	ENCFF756GSW	ENCFF353CJF
ENCSR261ICG	ATAC-seq	NA	embryonic facial prominence	e15.5	ENCFF761ICE	ENCFF597LUE
ENCSR273UFV	ATAC-seq	NA	forebrain	e11.5	ENCFF723JOP	ENCFF324HEA
ENCSR559FAJ	ATAC-seq	NA	forebrain	e12.5	ENCFF995AES	ENCFF516SBK
ENCSR903GMO	ATAC-seq	NA	forebrain	e13.5	ENCFF242PFN	ENCFF784HWN
ENCSR810HQR	ATAC-seq	NA	forebrain	e14.5	ENCFF483YUJ	ENCFF791TIF
ENCSR976LWP	ATAC-seq	NA	forebrain	e15.5	ENCFF518RFP	ENCFF927QTV
ENCSR836PUC	ATAC-seq	NA	forebrain	e16.5	ENCFF660OSG	ENCFF039UGP
ENCSR310MLB	ATAC-seq	NA	forebrain	p0	ENCFF121IBY	ENCFF424SNT
ENCSR820ACB	ATAC-seq	NA	heart	e11.5	ENCFF228QJG	ENCFF269RRE
ENCSR652CNN	ATAC-seq	NA	heart	e12.5	ENCFF644MON	ENCFF306JFQ
ENCSR552ABC	ATAC-seq	NA	heart	e13.5	ENCFF176PGB	ENCFF821DFH
ENCSR068YGC	ATAC-seq	NA	heart	e14.5	ENCFF571YQH	ENCFF844UOK
ENCSR603MWL	ATAC-seq	NA	heart	e15.5	ENCFF884LBG	ENCFF278PMY
ENCSR371KFW	ATAC-seq	NA	heart	e16.5	ENCFF175ITQ	ENCFF887TAQ
ENCSR451NAE	ATAC-seq	NA	heart	p0	ENCFF147VFH	ENCFF662AAG
ENCSR012YAB	ATAC-seq	NA	hindbrain	e11.5	ENCFF810KHN	ENCFF637POJ
ENCSR088UYE	ATAC-seq	NA	hindbrain	e12.5	ENCFF142UMA	ENCFF039PWS
ENCSR176BYZ	ATAC-seq	NA	hindbrain	e13.5	ENCFF794JLV	ENCFF707VPF
ENCSR798FDL	ATAC-seq	NA	hindbrain	e14.5	ENCFF886QPI	ENCFF049CYT
ENCSR662KNY	ATAC-seq	NA	hindbrain	e15.5	ENCFF567DZF	ENCFF103OXQ
ENCSR623GSD	ATAC-seq	NA	hindbrain	e16.5	ENCFF323DXE	ENCFF106ZLJ
ENCSR312LQX	ATAC-seq	NA	hindbrain	p0	ENCFF704BCP	ENCFF483PRZ
ENCSR150EOO	ATAC-seq	NA	intestine	e14.5	ENCFF713RYL	ENCFF330XLA
ENCSR961SMM	ATAC-seq	NA	intestine	e15.5	ENCFF063RYC	ENCFF902QQB
ENCSR966ORC	ATAC-seq	NA	intestine	e16.5	ENCFF648YUJ	ENCFF649TMA
ENCSR079GOY	ATAC-seq	NA	intestine	p0	ENCFF081BFZ	ENCFF048DWQ
ENCSR758IRM	ATAC-seq	NA	kidney	e14.5	ENCFF548KDV	ENCFF283CDK
ENCSR023QZX	ATAC-seq	NA	kidney	e15.5	ENCFF246HFB	ENCFF798EMI
ENCSR732OTZ	ATAC-seq	NA	kidney	e16.5	ENCFF342HUD	ENCFF826QAM
ENCSR389CLN	ATAC-seq	NA	kidney	p0	ENCFF038XRU	ENCFF572ZYX
ENCSR377YDY	ATAC-seq	NA	limb	e11.5	ENCFF588LBD	ENCFF295JLN
ENCSR551WBK	ATAC-seq	NA	limb	e12.5	ENCFF502QOH	ENCFF663PHB
ENCSR896XIN	ATAC-seq	NA	limb	e13.5	ENCFF643OHE	ENCFF854QAF
ENCSR460BUL	ATAC-seq	NA	limb	e14.5	ENCFF074JWJ	ENCFF232VCI
ENCSR204ZTY	ATAC-seq	NA	limb	e15.5	ENCFF325NYT	ENCFF487KFX
ENCSR785NEL	ATAC-seq	NA	liver	e11.5	ENCFF456HCD	ENCFF975SUE
ENCSR302LIV	ATAC-seq	NA	liver	e12.5	ENCFF430LEZ	ENCFF075PGQ
ENCSR343TXK	ATAC-seq	NA	liver	e13.5	ENCFF822EAJ	ENCFF528INY
ENCSR032HKE	ATAC-seq	NA	liver	e14.5	ENCFF188EFQ	ENCFF586TEQ
ENCSR465PYP	ATAC-seq	NA	liver	e15.5	ENCFF809PRS	ENCFF197LYV
ENCSR255XTC	ATAC-seq	NA	liver	e16.5	ENCFF215ATB	ENCFF780YUK
ENCSR609OHJ	ATAC-seq	NA	liver	p0	ENCFF463ARQ	ENCFF401BGN
ENCSR335VJW	ATAC-seq	NA	lung	e14.5	ENCFF581SHO	ENCFF828TIC
ENCSR668EIA	ATAC-seq	NA	lung	e15.5	ENCFF077CSW	ENCFF296VNS
ENCSR627OCR	ATAC-seq	NA	lung	e16.5	ENCFF572DFB	ENCFF705MOD
ENCSR102NGD	ATAC-seq	NA	lung	p0	ENCFF448CFJ	ENCFF656BQK
ENCSR382RUC	ATAC-seq	NA	midbrain	e11.5	ENCFF324OLA	ENCFF160XXX
ENCSR154BXN	ATAC-seq	NA	midbrain	e12.5	ENCFF406XEK	ENCFF184WUI
ENCSR819QOJ	ATAC-seq	NA	midbrain	e13.5	ENCFF917UPT	ENCFF705VFB
ENCSR384JBF	ATAC-seq	NA	midbrain	e14.5	ENCFF325XLR	ENCFF579BXD
ENCSR468GUI	ATAC-seq	NA	midbrain	e15.5	ENCFF998SOG	ENCFF420KWB
ENCSR096JCC	ATAC-seq	NA	midbrain	e16.5	ENCFF754FQE	ENCFF596SJV
ENCSR211OCS	ATAC-seq	NA	midbrain	p0	ENCFF603WEB	ENCFF274WCI
ENCSR282YTE	ATAC-seq	NA	neural tube	e11.5	ENCFF848QAF	ENCFF670CWJ
ENCSR690VOH	ATAC-seq	NA	neural tube	e12.5	ENCFF562KEB	ENCFF104BXJ
ENCSR217NOA	ATAC-seq	NA	neural tube	e13.5	ENCFF973YZC	ENCFF473OYR
ENCSR700QBR	ATAC-seq	NA	neural tube	e14.5	ENCFF861WEG	ENCFF210OKW
ENCSR983JWA	ATAC-seq	NA	neural tube	e15.5	ENCFF263ZBD	ENCFF934GUO
ENCSR618HDK	ATAC-seq	NA	stomach	e14.5	ENCFF770OAL	ENCFF017SHZ
ENCSR486XAS	ATAC-seq	NA	stomach	e15.5	ENCFF055YCZ	ENCFF042RGD
ENCSR363SKQ	ATAC-seq	NA	stomach	e16.5	ENCFF097ZUJ	ENCFF080FVG
ENCSR597BGP	ATAC-seq	NA	stomach	p0	ENCFF260GPQ	ENCFF620UDO